"BehaviorSpace results (NetLogo 6.1.1)"
"wasps.nlogo"
"experiment-1"
"10/28/2019 20:47:27:655 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","r-mean","r-sd","lambda-1","p-ldd","use-seed?","seed","scenario","number-of-sites","wasps-per-site","percentile-selector","init-sd-occ","homogenous?","show-pop","track-monitoring-area?","base-prop-gm","release-prop-gm","show-pop?","periodicity","init-mean-occ","[step]","total-pop","prop-occupied"
"59","2","0","0.5","1.0E-5","true","29","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"51","2","0","0.5","1.0E-5","true","21","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11535751","0.9540906537973499"
"34","2","0","0.5","1.0E-5","true","4","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11996862","0.9793231127660017"
"40","2","0","0.5","1.0E-5","true","10","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12202196","0.9873525679695463"
"63","2","0","0.5","1.0E-4","true","3","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","2","0","2.080169741850935E-5"
"32","2","0","0.5","1.0E-5","true","2","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12258776","0.9876645934308239"
"31","2","0","0.5","1.0E-5","true","1","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12223468","0.9896615563830009"
"66","2","0","0.5","1.0E-4","true","6","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","3","0","4.16033948370187E-5"
"37","2","0","0.5","1.0E-5","true","7","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12233817","0.9893079275268862"
"68","2","0","0.5","1.0E-4","true","8","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","1","0","2.080169741850935E-5"
"35","2","0","0.5","1.0E-5","true","5","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12264108","0.9896407546855823"
"43","2","0","0.5","1.0E-5","true","13","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12271353","0.9898487716597675"
"42","2","0","0.5","1.0E-5","true","12","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12224772","0.9892871258294677"
"39","2","0","0.5","1.0E-5","true","9","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","12235180","0.9898903750546044"
"56","2","0","0.5","1.0E-5","true","26","release sites only","1","1","0","0","false","0","false","0.01","0","true","0","0.5","100","11711432","0.9531753791109354"
