"BehaviorSpace results (NetLogo 6.1.0)"
"wasps.nlogo"
"experiment"
"11/25/2019 13:23:20:042 +1300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","208","0","325"
"[run number]","lambda-1","use-seed?","seed","init-sd-occ","percentile-selector","homogenous?","show-pop","number-of-sites","track-monitoring-area?","p-ldd","base-prop-gm","release-prop-gm","show-pop?","r-mean","periodicity","wasps-per-site","init-mean-occ","r-sd","scenario","[step]","total-pop","prop-occupied"
"3","0.5","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","2","11032750","0.9882470409585422"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","9","12235344","0.9904104174900672"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","9","12237511","0.9903272107003932"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","9","11835877","0.9907432446487633"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","10","11738795","0.990077590331371"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","10","12186854","0.9903896157926487"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","10","12185673","0.9903272107003932"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","10","11734288","0.9905768310694153"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","11","11711250","0.9908472531358559"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","11","12121678","0.9903064090029746"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","11","12128866","0.9902856073055561"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","12","11500008","0.9904104174900672"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","11","11696191","0.9908056497410188"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","12","12003415","0.9905768310694153"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","12","12019831","0.9907432446487633"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","13","11295036","0.9909512616229484"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","12","11491268","0.9908056497410188"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","14","10858713","0.9902440039107191"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","13","11842228","0.9902856073055561"
"6","1","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","3","11521154","0.9910344684126224"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","13","11868980","0.9905976327668338"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","13","11258638","0.9904312191874857"
"3","0.5","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","3","11925421","0.9911592785971335"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","15","10352589","0.9909928650177855"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","14","11608716","0.9905768310694153"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","14","11641516","0.9904728225823227"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","14","10820407","0.9907432446487633"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","16","9674018","0.9905560293719967"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","15","11315722","0.9901399954236265"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","15","11347706","0.9907016412539263"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","15","10283314","0.9908472531358559"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","17","8910287","0.9898903750546044"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","16","10949518","0.9903688140952301"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","16","10975348","0.9904728225823227"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","16","9576003","0.9904520208849042"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","18","8066365","0.9872693611798723"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","19","7203925","0.9788654754227945"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","17","10525877","0.989994383541697"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","17","8783352","0.990119193726208"
"2","0.5","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","17","10514099","0.9897031597778378"
"6","1","true","1","0","0.95","false","0","20","false","0.1","0","1","true","2","1","500","0.5","0","base plus release sites","4","10562797","0.9890583071578641"
"4","1","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","20","6348984","0.9652403636136708"
"1","0.5","true","1","0","0.95","false","0","20","false","1.0E-5","0","1","true","2","1","500","0.5","0","base plus release sites","18","10054432","0.988891893578516"
"5","1","true","1","0","0.95","false","0","20","false","0.001","0","1","true","2","1","500","0.5","0","base plus release sites","18","7907760","0.9875813866411499"
